City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,chonchi,-42.6128,-73.8092,14.56,52,87,0.4,CL,1709754361
120,forest,37.3638,-79.2897,15.58,94,100,3.6,US,1709754362
121,thompson,55.7435,-97.8558,-11.91,52,20,0.0,CA,1709754362
122,mata-utu,-13.2816,-176.1745,28.88,75,21,5.91,WF,1709754362
123,vargashi,55.3556,65.8467,-17.32,100,98,1.77,RU,1709754363
124,aljezur,37.3191,-8.8033,11.52,73,100,3.4,PT,1709754363
125,gadzhiyevo,69.2551,33.3362,2.11,99,100,9.73,RU,1709754363
126,alfredo chaves,-20.635,-40.7497,25.81,96,100,0.8,BR,1709754363
127,vadso,70.0744,29.7487,3.49,93,75,6.69,NO,1709754364
128,skelleftea,64.7507,20.9528,-3.8,100,100,1.54,SE,1709754364
129,itaguai,-22.8522,-43.7753,28.79,70,75,4.63,BR,1709754364
130,hithadhoo,-0.6,73.0833,28.02,71,100,4.63,MV,1709754365
131,filadelfia,39.9523,-75.1638,11.23,94,100,5.14,US,1709754365
132,cururupu,-1.8283,-44.8683,25.98,93,100,2.19,BR,1709754365
133,mudbidri,13.0833,74.9833,24.79,73,74,1.54,IN,1709754365
134,inari,68.906,27.0288,2.11,92,95,2.15,FI,1709754366
135,sao jose da coroa grande,-8.8978,-35.1478,28.78,73,24,4.03,BR,1709754367
136,kodiak,57.79,-152.4072,0.73,75,0,3.09,US,1709754367
137,kayes,14.0,-11.0,35.24,9,85,2.07,ML,1709754368
138,talnakh,69.4865,88.3972,-13.68,96,100,2.29,RU,1709754368
139,buala,-8.145,159.5921,26.64,86,99,0.66,SB,1709754368
140,cudahy,33.9606,-118.1853,19.67,69,75,4.63,US,1709754368
141,zag,46.9441,99.165,-26.0,83,2,1.66,MN,1709754369
142,alice springs,-23.7,133.8833,25.75,73,40,2.06,AU,1709754370
143,sarikei,2.1167,111.5167,25.61,99,100,0.63,MY,1709754370
144,tomatlan,19.9333,-105.25,32.08,24,4,4.51,MX,1709754304
145,papao,-17.75,-149.55,29.82,78,100,4.86,PF,1709754371
146,goundam,16.4145,-3.6708,26.88,6,15,4.84,ML,1709754371
147,santa cruz,-17.8,-63.1667,33.03,52,75,3.09,BO,1709754223
148,ribeira grande,38.5167,-28.7,13.22,67,75,8.75,PT,1709754371
149,acapulco de juarez,16.8634,-99.8901,28.9,65,0,4.12,MX,1709754372
150,hamilton,39.1834,-84.5333,12.91,93,100,7.2,US,1709754293
151,lompoc,34.6391,-120.4579,15.08,66,100,5.66,US,1709754372
152,mbabane,-26.3167,31.1333,16.53,94,51,1.36,SZ,1709754263
153,dryden,49.7833,-92.7503,-0.84,40,40,4.12,CA,1709754373
154,colares,38.7992,-9.4469,14.63,80,40,13.41,PT,1709754373
155,papatowai,-46.5619,169.4708,13.86,65,49,3.9,NZ,1709754373
156,konarka,19.9,86.1167,25.09,78,9,3.27,IN,1709754374
157,mandera,3.9366,41.867,34.93,29,85,5.14,KE,1709754374
158,new norfolk,-42.7826,147.0587,13.84,82,100,1.34,AU,1709754374
159,mahina,-17.5065,-149.489,29.87,74,40,1.54,PF,1709754375
160,laguna paiva,-31.3039,-60.6589,30.52,48,5,1.34,AR,1709754375
161,jamestown,42.097,-79.2353,9.45,100,100,1.34,US,1709754376
162,colonia,50.9333,6.95,10.54,72,40,2.57,DE,1709754376
163,shihezi,44.3,86.0333,-14.2,93,57,2.34,CN,1709754376
164,namibe,-15.1961,12.1522,23.81,63,71,4.14,AO,1709754377
165,zellingen,49.8978,9.8172,7.45,86,81,4.17,DE,1709754377
166,charters towers,-20.1,146.2667,21.85,89,65,3.72,AU,1709754377
167,bugene,-1.5911,31.1403,14.2,94,47,1.59,TZ,1709754378
168,albany,42.6001,-73.9662,11.05,91,100,0.89,US,1709754091
169,nirmal,19.1,78.35,27.53,23,36,3.63,IN,1709754379
170,zakamensk,50.3741,103.2863,-18.37,98,14,1.54,RU,1709754350
171,mincivan,39.0294,46.7185,12.53,50,100,1.6,AZ,1709754380
172,roma,43.2128,-75.4557,12.07,96,100,2.06,US,1709754382
173,mahibadhoo,3.7833,72.9667,28.04,79,49,6.0,MV,1709754382
174,khandyga,62.6667,135.6,-32.74,100,95,0.63,RU,1709754383
